"ID,""GEO"",""SECTOR"",""EMPLOYEES"",""INCOME"",""MARKETING_SPENDING"",""ACC_BEFORE"",""PWC_PRESS_INDEX"",""FB_LIKES"",""TWT_FOLLOWERS"",""YEAR_FOUNDED"",""EXP_CEO"",""AREA"",""PWC_EMPLOYEES"",""CREDIT"",""FLAG"""
"1,"" 21.0017163707095  , 52.2314057981037    "",""PUB"",""2"",""150426"",""7964"",""0"",""-8.07833534412621"",""1633"",""138"",""2010"",""NA"",""32"",""0"",""19950"",""0"""
"2,"" 21.0068688148316  , 52.2332658119407    "",""PUB"",""6"",""500078"",""30212"",""0"",""17.0328512444591"",""6128"",""605"",""2011"",""NA"",""44"",""1"",""45104"",""1"""
"3,""  21.0746074383869  , 52.2790054865787  "",""IT"",""27"",""199767"",""4970"",""0"",""-7.32162072546331"",""487"",""106"",""2005"",""NA"",""83"",""0"",""499"",""0"""
"4,"" 21.0120824468674  , 52.2320822895085    "",""IT"",""5"",""109200"",""7010"",""1"",""1.13543142813292"",""661"",""116"",""2011"",""NA"",""21"",""1"",""0"",""1"""
"5,"" 21.0001250609641  , 52.2399573325692    "",""IT"",""3"",""112200"",""9000"",""0"",""0.950873095959514"",""926"",""172"",""2012"",""5"",""23"",""0"",""-997"",""1"""
"6,"" 21.0289443575093  , 52.2234181063203    "",""IT"",""17"",""337500"",""37910"",""1"",""3.14796806453533"",""3731"",""768"",""2007"",""9"",""182"",""6"",""60460"",""1"""
"7,"" 21.0133994925779  , 52.2395281479973    "",""IT"",""25"",""382750"",""31980"",""1"",""2.2041744668894"",""3144"",""717"",""2011"",""7"",""193"",""6"",""60166"",""1"""
"8,"" 21.134521354341  , 52.1814345911192   "",""IT"",""3"",""71947"",""7994"",""0"",""2.09560381213544"",""810"",""174"",""2010"",""4"",""75"",""0"",""19578"",""0"""
"9,""  21.066007803753  , 52.2810702981357  "",""IT"",""2"",""199999"",""5125"",""1"",""-4.62270058419739"",""536"",""87"",""2003"",""5"",""72"",""2"",""693"",""0"""
"10,"" 21.0277345616915  , 52.2249691291014    "",""IT"",""4"",""138500"",""16070"",""1"",""2.31879614781815"",""1613"",""305"",""2010"",""6"",""18"",""1"",""2009"",""1"""
"11,"" 21.1978283467684  , 52.2189889051416   "",""IT"",""4"",""80017"",""7598"",""0"",""1.21371163024601"",""809"",""171"",""2010"",""NA"",""82"",""0"",""19691"",""0"""
"12,"" 21.0234051463481  , 52.221373411715    "",""PUB"",""2"",""149870"",""7940"",""0"",""-6.28802030227787"",""1621"",""156"",""2006"",""7"",""27"",""2"",""19939"",""0"""
"13,"" 21.1459262629189  , 52.1729120547231   "",""PUB"",""3"",""149785"",""7963"",""0"",""-11.2607893733851"",""1605"",""159"",""2006"",""NA"",""33"",""0"",""11900"",""0"""
"14,""  21.0676146368636  , 52.2837807110045  "",""IT"",""3"",""198893"",""4912"",""1"",""-6.9035111517314"",""541"",""88"",""2004"",""5"",""70"",""0"",""0"",""0"""
"15,"" 21.1880401151944  , 52.2195497370837   "",""IT"",""47"",""363340"",""10011"",""0"",""-2.30588352726197"",""1011"",""186"",""2007"",""14"",""372"",""1"",""1116"",""1"""
"16,"" 21.0283579816194  , 52.2313813963486    "",""CAFE"",""6"",""500341"",""30321"",""0"",""13.3444473993381"",""6152"",""564"",""2012"",""NA"",""53"",""0"",""60061"",""0"""
"17,"" 21.0056143625833  , 52.2297148451675    "",""RESTAURANT"",""3"",""150352"",""7853"",""0"",""13.3196079178144"",""1571"",""175"",""2009"",""NA"",""30"",""0"",""19845"",""0"""
"18,"" 21.1621953201126  , 52.1734407190513   "",""IT"",""52"",""343110"",""10099"",""1"",""-2.59666270585168"",""1016"",""208"",""2003"",""NA"",""364"",""4"",""1017"",""1"""
"19,""  21.0573278489267  , 52.285131097862  "",""PUB"",""4"",""109300"",""8047"",""1"",""-4.86109177475894"",""1630"",""169"",""2006"",""NA"",""32"",""0"",""25113"",""1"""
"20,"" 21.0214787450605  , 52.2204868922848    "",""IT"",""20"",""434750"",""38050"",""1"",""1.94549144240576"",""3895"",""704"",""2010"",""NA"",""196"",""6"",""0"",""1"""
"21,""  21.0386818537395  , 52.2991801199643  "",""IT"",""4"",""200323"",""5040"",""0"",""-5.99791535307132"",""508"",""99"",""2004"",""6"",""71"",""1"",""998"",""1"""
"22,"" 21.1924862645008  , 52.181954285088   "",""IT"",""3"",""69943"",""7293"",""1"",""1.33290300421694"",""658"",""139"",""2011"",""4"",""75"",""0"",""20483"",""0"""
"23,"" 21.1483412511824  , 52.1905510962638   "",""IT"",""51"",""262280"",""10198"",""0"",""-3.22400699015079"",""1064"",""205"",""2002"",""13"",""345"",""5"",""1115"",""1"""
"24,"" 21.1849143699398  , 52.2054929984896   "",""IT"",""5"",""79007"",""8284"",""0"",""0.251969194379146"",""818"",""148"",""2012"",""3"",""64"",""1"",""19662"",""1"""
"25,"" 21.0149336763716  , 52.2215284758899    "",""IT"",""17"",""332500"",""35960"",""1"",""3.66261218962262"",""3499"",""699"",""2007"",""10"",""196"",""12"",""59397"",""1"""
"26,""  21.0598221132648  , 52.2991380820516  "",""RESTAURANT"",""4"",""129800"",""7989"",""0"",""-26.4493741323429"",""1580"",""150"",""2011"",""6"",""31"",""1"",""19163"",""0"""
"27,"" 21.1666944860108  , 52.1954726629239   "",""IT"",""5"",""62834"",""7900"",""1"",""1.6856932105716"",""741"",""168"",""2013"",""NA"",""76"",""1"",""20266"",""1"""
"28,"" 21.1500403431198  , 52.1865004934999   "",""IT"",""5"",""76955"",""7988"",""1"",""2.02708795972006"",""716"",""163"",""2014"",""4"",""74"",""2"",""19980"",""1"""
